!13C to 13N bdecay
!From ../13c-13n_betadecay.dat compiled by GMP from Schwab et al. 2017
!Experimental data used from Zegers et al. 2008
!
!Log(rhoY)       Log(T)        mu        dQ           Vs           Log(beta-decay-rate)   nu-energy-loss    gamma-energy
!Log(g/cm^3)     Log(K)        erg       erg          erg          Log(1/s)               Log(erg/s)        Log(erg/s)
8.140000       9.550000     0.000000   0.031100     0.0124       -99.999000           -1.461819e+01         -100.00
8.140000       9.600000     0.000000   0.030000     0.0124       -99.999000           -1.367589e+01         -100.00
8.140000       9.650000     0.000000   0.028900     0.0124       -99.999000           -1.280149e+01         -100.00
8.160000       8.000000     0.000000   0.050500     0.0126       -99.999000           -1.057943e+02         -100.00
8.160000       8.050000     0.000000   0.050200     0.0126       -99.999000           -1.057943e+02         -100.00
8.160000       8.100000     0.000000   0.050000     0.0126       -99.999000           -1.057943e+02         -100.00
8.160000       8.150000     0.000000   0.049700     0.0126       -99.999000           -1.057943e+02         -100.00
8.160000       8.200000     0.000000   0.049400     0.0126       -99.999000           -1.057943e+02         -100.00
8.160000       8.250000     0.000000   0.049100     0.0126       -99.999000           -1.057943e+02         -100.00
8.160000       8.300000     0.000000   0.048800     0.0126       -99.999000           -1.057943e+02         -100.00
8.160000       8.350000     0.000000   0.048400     0.0126       -99.999000           -1.057943e+02         -100.00
8.160000       8.400000     0.000000   0.048000     0.0126       -99.999000           -1.019473e+02         -100.00
8.160000       8.450000     0.000000   0.047600     0.0126       -99.999000           -9.214219e+01         -100.00
8.160000       8.500000     0.000000   0.047200     0.0126       -99.999000           -8.337969e+01         -100.00
8.160000       8.550000     0.000000   0.046800     0.0126       -99.999000           -7.554609e+01         -100.00
8.160000       8.600000     0.000000   0.046300     0.0126       -99.999000           -6.854039e+01         -100.00
8.160000       8.650000     0.000000   0.045800     0.0126       -99.999000           -6.227219e+01         -100.00
8.160000       8.700000     0.000000   0.045300     0.0126       -99.999000           -5.666109e+01         -100.00
8.160000       8.750000     0.000000   0.044700     0.0126       -99.999000           -5.163549e+01         -100.00
8.160000       8.800000     0.000000   0.044100     0.0126       -99.999000           -4.713129e+01         -100.00
8.160000       8.850000     0.000000   0.043500     0.0126       -99.999000           -4.309169e+01         -100.00
8.160000       8.900000     0.000000   0.042900     0.0126       -99.999000           -3.946559e+01         -100.00
8.160000       8.950000     0.000000   0.042200     0.0126       -99.999000           -3.620779e+01         -100.00
8.160000       9.000000     0.000000   0.041500     0.0126       -99.999000           -3.327789e+01         -100.00
8.160000       9.050000     0.000000   0.040700     0.0126       -99.999000           -3.063979e+01         -100.00
8.160000       9.100000     0.000000   0.040000     0.0126       -99.999000           -2.826119e+01         -100.00
