!13N to 13C e-capture
!From ../13n-13c_electroncapture.dat compiled by GMP from Schwab et al. 2017
!Experimental data used from Zegers et al. 2008
!
!Log(rhoY)       Log(T)        mu        dQ           Vs           Log(e-cap-rate)   nu-energy-loss       gamma-energy
!Log(g/cm^3)     Log(K)        erg       erg          erg          Log(1/s)          Log(erg/s)           Log(erg/s)
8.100000       8.350000     0.000000   -0.046100     0.0121       -0.397100            -5.618690e+00         -100.00
8.100000       8.400000     0.000000   -0.045700     0.0121       -0.397000            -5.618390e+00         -100.00
8.100000       8.450000     0.000000   -0.045300     0.0121       -0.396800            -5.618190e+00         -100.00
8.100000       8.500000     0.000000   -0.044900     0.0121       -0.396600            -5.617890e+00         -100.00
8.100000       8.550000     0.000000   -0.044500     0.0121       -0.396400            -5.617590e+00         -100.00
8.100000       8.600000     0.000000   -0.044000     0.0121       -0.396100            -5.617190e+00         -100.00
8.100000       8.650000     0.000000   -0.043500     0.0121       -0.395800            -5.616690e+00         -100.00
8.100000       8.700000     0.000000   -0.043000     0.0121       -0.395400            -5.616190e+00         -100.00
8.100000       8.750000     0.000000   -0.042500     0.0121       -0.394900            -5.615590e+00         -100.00
8.100000       8.800000     0.000000   -0.041900     0.0121       -0.394400            -5.614790e+00         -100.00
8.100000       8.850000     0.000000   -0.041300     0.0121       -0.393800            -5.613890e+00         -100.00
8.100000       8.900000     0.000000   -0.040700     0.0121       -0.393000            -5.612790e+00         -100.00
8.100000       8.950000     0.000000   -0.040000     0.0121       -0.392000            -5.611390e+00         -100.00
8.100000       9.000000     0.000000   -0.039300     0.0121       -0.390900            -5.609790e+00         -100.00
8.100000       9.050000     0.000000   -0.038600     0.0121       -0.389500            -5.607690e+00         -100.00
8.100000       9.100000     0.000000   -0.037900     0.0121       -0.387700            -5.605190e+00         -100.00
8.100000       9.150000     0.000000   -0.037100     0.0121       -0.385600            -5.602190e+00         -100.00
8.100000       9.200000     0.000000   -0.036300     0.0121       -0.382900            -5.598390e+00         -100.00
8.100000       9.250000     0.000000   -0.035400     0.0121       -0.379700            -5.593690e+00         -100.00
8.100000       9.300000     0.000000   -0.034600     0.0121       -0.375600            -5.587890e+00         -100.00
8.100000       9.350000     0.000000   -0.033700     0.0121       -0.370600            -5.580590e+00         -100.00
8.100000       9.400000     0.000000   -0.034400     0.0121       -0.364800            -5.572290e+00         -100.00
8.100000       9.450000     0.000000   -0.033700     0.0121       -0.357100            -5.561190e+00         -100.00
8.100000       9.500000     0.000000   -0.030900     0.0121       -0.347200            -5.546890e+00         -100.00
8.100000       9.550000     0.000000   -0.029900     0.0121       -0.335400            -5.529990e+00         -100.00
8.100000       9.600000     0.000000   -0.028800     0.0121       -0.321000            -5.509190e+00         -100.00
8.100000       9.650000     0.000000   -0.027800     0.0121       -0.303300            -5.483790e+00         -100.00
8.120000       8.000000     0.000000   -0.048900     0.0122       -0.370500            -5.589290e+00         -100.00
8.120000       8.050000     0.000000   -0.048700     0.0122       -0.370500            -5.589190e+00         -100.00
8.120000       8.100000     0.000000   -0.048400     0.0122       -0.370400            -5.589090e+00         -100.00
8.120000       8.150000     0.000000   -0.048100     0.0122       -0.370300            -5.588990e+00         -100.00
8.120000       8.200000     0.000000   -0.047800     0.0122       -0.370200            -5.588890e+00         -100.00
8.120000       8.250000     0.000000   -0.047500     0.0122       -0.370100            -5.588690e+00         -100.00
8.120000       8.300000     0.000000   -0.047200     0.0122       -0.370000            -5.588590e+00         -100.00
8.120000       8.350000     0.000000   -0.046900     0.0122       -0.369800            -5.588390e+00         -100.00
8.120000       8.400000     0.000000   -0.046500     0.0122       -0.369700            -5.588190e+00         -100.00
8.120000       8.450000     0.000000   -0.046100     0.0122       -0.369500            -5.587890e+00         -100.00
8.120000       8.500000     0.000000   -0.045700     0.0122       -0.369300            -5.587590e+00         -100.00
8.120000       8.550000     0.000000   -0.045200     0.0122       -0.369100            -5.587290e+00         -100.00
8.120000       8.600000     0.000000   -0.044800     0.0122       -0.368800            -5.586890e+00         -100.00
8.120000       8.650000     0.000000   -0.044300     0.0122       -0.368500            -5.586490e+00         -100.00
8.120000       8.700000     0.000000   -0.043800     0.0122       -0.368100            -5.585890e+00         -100.00
8.120000       8.750000     0.000000   -0.043200     0.0122       -0.367700            -5.585290e+00         -100.00
8.120000       8.800000     0.000000   -0.042600     0.0122       -0.367100            -5.584490e+00         -100.00
8.120000       8.850000     0.000000   -0.042000     0.0122       -0.366500            -5.583590e+00         -100.00
8.120000       8.900000     0.000000   -0.041400     0.0122       -0.365700            -5.582490e+00         -100.00
8.120000       8.950000     0.000000   -0.040700     0.0122       -0.364800            -5.581190e+00         -100.00
8.120000       9.000000     0.000000   -0.040000     0.0122       -0.363700            -5.579590e+00         -100.00
8.120000       9.050000     0.000000   -0.039300     0.0122       -0.362300            -5.577590e+00         -100.00
8.120000       9.100000     0.000000   -0.038500     0.0122       -0.360500            -5.575090e+00         -100.00
8.120000       9.150000     0.000000   -0.037800     0.0122       -0.358400            -5.572090e+00         -100.00
8.120000       9.200000     0.000000   -0.036900     0.0122       -0.355800            -5.568390e+00         -100.00
8.120000       9.250000     0.000000   -0.036100     0.0122       -0.352600            -5.563790e+00         -100.00
8.120000       9.300000     0.000000   -0.035200     0.0122       -0.348600            -5.557990e+00         -100.00
8.120000       9.350000     0.000000   -0.034300     0.0122       -0.343600            -5.550890e+00         -100.00
8.120000       9.400000     0.000000   -0.035100     0.0122       -0.337900            -5.542690e+00         -100.00
8.120000       9.450000     0.000000   -0.034300     0.0122       -0.330300            -5.531890e+00         -100.00
8.120000       9.500000     0.000000   -0.031500     0.0122       -0.320500            -5.517790e+00         -100.00
8.120000       9.550000     0.000000   -0.030500     0.0122       -0.308900            -5.501090e+00         -100.00
8.120000       9.600000     0.000000   -0.029400     0.0122       -0.294700            -5.480690e+00         -100.00
8.120000       9.650000     0.000000   -0.028400     0.0122       -0.277300            -5.455590e+00         -100.00
8.140000       8.000000     0.000000   -0.049700     0.0124       -0.343100            -5.558890e+00         -100.00
8.140000       8.050000     0.000000   -0.049400     0.0124       -0.343100            -5.558790e+00         -100.00
8.140000       8.100000     0.000000   -0.049200     0.0124       -0.343000            -5.558690e+00         -100.00
8.140000       8.150000     0.000000   -0.048900     0.0124       -0.342900            -5.558590e+00         -100.00
8.140000       8.200000     0.000000   -0.048600     0.0124       -0.342800            -5.558490e+00         -100.00
8.140000       8.250000     0.000000   -0.048300     0.0124       -0.342700            -5.558290e+00         -100.00
8.140000       8.300000     0.000000   -0.048000     0.0124       -0.342600            -5.558190e+00         -100.00
8.140000       8.350000     0.000000   -0.047600     0.0124       -0.342400            -5.557990e+00         -100.00
8.140000       8.400000     0.000000   -0.047300     0.0124       -0.342300            -5.557790e+00         -100.00
8.140000       8.450000     0.000000   -0.046900     0.0124       -0.342100            -5.557490e+00         -100.00
8.140000       8.500000     0.000000   -0.046400     0.0124       -0.341900            -5.557190e+00         -100.00
8.140000       8.550000     0.000000   -0.046000     0.0124       -0.341700            -5.556890e+00         -100.00
8.140000       8.600000     0.000000   -0.045500     0.0124       -0.341400            -5.556490e+00         -100.00
8.140000       8.650000     0.000000   -0.045000     0.0124       -0.341100            -5.556090e+00         -100.00
8.140000       8.700000     0.000000   -0.044500     0.0124       -0.340700            -5.555590e+00         -100.00
8.140000       8.750000     0.000000   -0.044000     0.0124       -0.340300            -5.554890e+00         -100.00
